Designator,Mid X,Mid Y,Rotation,Layer
C1,143.0,-89.4,0.0,top
C2,142.5,-87.5,0.0,top
C3,146.1,-78.0,-90.0,top
C4,139.5,-78.0,-90.0,top
C5,132.3,-96.4,-90.0,top
C6,133.7,-96.4,-90.0,top
C7,133.0,-77.5,90.0,top
C8,143.5,-84.3,0.0,top
C9,134.5,-77.5,90.0,top
C10,143.5,-85.4,0.0,top
C11,122.92,-88.3,180.0,top
C12,122.92,-86.9,180.0,top
C13,115.5,-80.8,0.0,top
C14,115.5,-78.3,0.0,top
C15,131.5,-77.5,90.0,top
C16,102.5,-50.0,-90.0,top
C17,149.3,-88.5,180.0,top
C22,123.2725,-51.794,90.0,top
C23,126.3205,-51.794,90.0,top
C24,142.24,-37.592,0.0,top
C25,135.452,-51.364,90.0,top
C26,141.5,-45.72,-90.0,top
C27,138.5,-51.364,90.0,top
C28,132.588,-39.624,180.0,top
C29,103.632,-58.448,-90.0,top
C30,103.632,-62.484,90.0,top
C31,94.996,-60.96,90.0,top
C32,169.672,-58.42,-90.0,top
C33,169.672,-62.484,90.0,top
C34,160.528,-60.96,90.0,top
C35,138.43,-69.5508,-90.0,top
C36,139.9032,-69.5,-90.0,top
C37,141.3764,-69.5,-90.0,top
C38,142.9004,-69.5,-90.0,top
C39,144.3736,-69.5,-90.0,top
C40,133.0,-70.0,180.0,top
C41,135.9,-66.7,0.0,top
C42,129.7,-68.3,-90.0,top
C43,121.0,-95.968,0.0,top
C47,122.8,-83.6,180.0,top
D1,154.2,-105.2,0.0,top
D2,137.5,-45.0,180.0,top
D3,132.588,-44.958,90.0,top
D4,103.0,-86.5,-90.0,top
D5,160.7,-91.6,180.0,top
D6,160.7,-86.1,180.0,top
D10,154.2,-103.2,0.0,top
D11,121.0,-98.9,0.0,top
D12,106.0,-48.5,-90.0,top
J1,127.0,-105.0,0.0,top
J2,116.0,-43.45,180.0,top
J3,167.687,-43.45,180.0,top
J9,111.2,-93.0,-90.0,top
J10,101.0,-43.55,180.0,top
L1,137.1092,-41.5,180.0,top
Q2,127.0,-39.5351,180.0,top
R1,133.5,-101.6,180.0,top
R2,149.3,-90.9,180.0,top
R3,127.0,-77.5,90.0,top
R4,154.0,-82.5,0.0,top
R5,128.0,-94.0,90.0,top
R6,126.0,-94.0,90.0,top
R7,157.7,-105.2,0.0,top
R8,157.7,-103.2,0.0,top
R9,140.5,-81.0,90.0,top
R10,137.49,-77.5,-90.0,top
R11,136.0,-77.5,-90.0,top
R12,102.5,-80.0,90.0,top
R13,131.6545,-51.794,90.0,top
R14,129.1145,-51.794,-90.0,top
R15,143.326,-51.364,90.0,top
R16,141.04,-51.364,-90.0,top
R17,145.99,-44.0,180.0,top
R18,145.99,-41.9,0.0,top
R19,109.0,-48.0,-90.0,top
R20,109.0,-50.5,-90.0,top
R21,145.4,-83.1,0.0,top
SW1,154.1,-89.3,-90.0,top
U2,109.4,-79.5,180.0,top
U3,133.0198,-86.995,-135.0,top
U4,127.0,-97.5,90.0,top
U5,126.308,-60.0,-90.0,top
U6,142.24,-41.5,90.0,top
U7,138.5,-60.0,-90.0,top
Y2,142.4,-77.65,0.0,top
